timestamp,user,kernel
1609448400,62,33
1609452000,79,52
1609455600,60,9
1609459200,95,37
1609462800,53,71
1609466400,6,63
1609470000,30,76
1609473600,45,16
1609477200,48,34
1609480800,51,78
1609484400,82,25
1609488000,66,22
1609491600,82,49
1609495200,54,23
1609498800,85,75
1609502400,95,46
1609506000,77,36
1609509600,13,90
1609513200,50,61
1609516800,42,2
1609520400,46,1
1609524000,33,66
1609527600,45,32
1609531200,51,83
1609534800,71,55
1609538400,75,53
1609542000,85,3
1609545600,80,66
1609549200,21,87
1609552800,94,5
1609556400,39,51
1609560000,57,15
1609563600,55,23
1609567200,20,4
1609570800,52,15
1609574400,65,52
1609578000,21,52
1609581600,86,56
1609585200,89,36
1609588800,16,59
1609592400,5,44
1609596000,80,43
1609599600,52,22
1609603200,78,26
1609606800,23,34
1609610400,37,16
1609614000,91,47
1609617600,36,45
1609621200,75,46
1609624800,18,80
1609628400,29,36
1609632000,46,40
1609635600,93,32
1609639200,64,81
1609642800,73,33
1609646400,18,32
1609650000,82,51
1609653600,43,88
1609657200,42,20
1609660800,28,18
1609664400,60,18
1609668000,39,50
1609671600,70,66
1609675200,63,7
1609678800,80,34
1609682400,93,9
1609686000,76,38
1609689600,17,68
1609693200,75,72
1609696800,27,11
1609700400,73,35
1609704000,11,55
1609707600,54,44
1609711200,20,86
1609714800,33,1
1609718400,19,83
1609722000,25,48
1609725600,10,85
1609729200,28,63
1609732800,7,62
1609736400,66,53
1609740000,76,41
1609743600,5,46
1609747200,23,34
1609750800,86,40
1609754400,13,59
1609758000,43,68
1609761600,82,88
1609765200,26,1
1609768800,88,49
1609772400,7,60
1609776000,9,22
1609779600,23,9
1609783200,76,4
1609786800,41,36
1609790400,71,6
1609794000,94,9
1609797600,52,89
1609801200,61,28
1609804800,91,46
1609808400,37,57
1609812000,19,33
1609815600,39,54
1609819200,35,19
1609822800,60,77
1609826400,36,21
1609830000,14,36
1609833600,11,27
1609837200,50,77
1609840800,37,44
1609844400,27,61
1609848000,55,20
1609851600,39,60
1609855200,78,90
1609858800,57,31
1609862400,13,84
1609866000,94,77
1609869600,85,32
1609873200,45,74
1609876800,19,5
1609880400,28,46
1609884000,85,32
1609887600,87,86
1609891200,65,90
1609894800,78,55
1609898400,49,58
1609902000,84,57
1609905600,47,22
1609909200,86,78
1609912800,80,42
1609916400,77,84
1609920000,94,70
1609923600,75,78
1609927200,71,19
1609930800,29,80
1609934400,83,47
1609938000,40,67
1609941600,85,80
1609945200,31,12
1609948800,85,62
1609952400,72,87
1609956000,34,18
1609959600,58,34
1609963200,46,6
1609966800,80,25
1609970400,16,57
1609974000,77,9
1609977600,41,51
1609981200,56,65
1609984800,39,75
1609988400,60,75
1609992000,91,53
1609995600,57,75
1609999200,48,41
1610002800,92,86
1610006400,17,26
1610010000,87,4
1610013600,49,44
1610017200,44,48
1610020800,19,77
1610024400,42,25
1610028000,48,18
1610031600,40,80
1610035200,75,49
1610038800,22,67
1610042400,92,72
1610046000,56,82
1610049600,94,66
1610053200,71,4
1610056800,21,25
1610060400,95,28
1610064000,19,81
1610067600,38,22
1610071200,93,35
1610074800,75,11
1610078400,26,16
1610082000,42,28
1610085600,94,35
1610089200,76,31
1610092800,89,88
1610096400,12,43
1610100000,38,58
1610103600,40,31
1610107200,39,64
1610110800,40,13
1610114400,58,34
1610118000,47,67
1610121600,83,38
1610125200,94,75
1610128800,41,32
1610132400,92,20
1610136000,16,87
1610139600,53,9
1610143200,36,28
1610146800,45,24
1610150400,31,47
1610154000,35,59
1610157600,74,65
1610161200,58,66
1610164800,7,51
1610168400,84,55
1610172000,53,30
1610175600,90,35
1610179200,36,47
1610182800,78,30
1610186400,84,32
1610190000,56,90
1610193600,33,62
1610197200,68,59
1610200800,5,66
1610204400,51,80
1610208000,82,77
1610211600,16,55
1610215200,19,64
1610218800,35,70
1610222400,83,72
1610226000,93,35
1610229600,71,83
1610233200,38,6
1610236800,44,15
1610240400,5,81
1610244000,53,51
1610247600,48,76
1610251200,27,15
1610254800,13,76
1610258400,50,54
1610262000,33,31
1610265600,8,39
1610269200,54,18
1610272800,71,42
1610276400,93,53
1610280000,28,86
1610283600,56,89
1610287200,46,84
1610290800,64,43
1610294400,68,59
1610298000,38,74
1610301600,78,76
1610305200,27,58
1610308800,60,30
1610312400,49,9
1610316000,53,72
1610319600,45,51
1610323200,80,52
1610326800,37,50
1610330400,8,30
1610334000,72,26
1610337600,84,27
1610341200,84,83
1610344800,80,47
1610348400,40,47
1610352000,20,68
1610355600,35,88
1610359200,21,52
1610362800,60,71
1610366400,51,62
1610370000,48,3
1610373600,12,46
1610377200,59,82
1610380800,12,87
1610384400,9,10
1610388000,85,71
1610391600,5,31
1610395200,67,79
1610398800,28,9
1610402400,94,21
1610406000,61,13
1610409600,94,49
1610413200,69,14
1610416800,69,82
1610420400,54,19
1610424000,22,1
1610427600,27,24
1610431200,53,40
1610434800,74,55
1610438400,95,73
1610442000,34,42
1610445600,22,29
1610449200,78,42
1610452800,76,59
1610456400,56,69
1610460000,85,70
1610463600,50,41
1610467200,33,18
1610470800,23,55
1610474400,68,67
1610478000,80,80
1610481600,74,60
1610485200,72,26
1610488800,68,45
1610492400,49,62
1610496000,87,73
1610499600,18,62
1610503200,70,49
1610506800,18,45
1610510400,76,27
1610514000,28,23
1610517600,11,31
1610521200,69,88
1610524800,17,83
1610528400,57,76
1610532000,27,90
1610535600,33,0
