timestamp,peer_addr,rd_count,wr_count
1609448400,10.0.0.20,108347,67085
1609452000,10.0.0.5,107562,118388
1609455600,10.0.0.19,102317,77844
1609459200,10.0.0.63,120882,83093
1609462800,10.0.0.12,128373,127993
1609466400,10.0.0.17,73219,128795
1609470000,10.0.0.12,123538,75114
1609473600,10.0.0.71,77384,98182
1609477200,10.0.0.71,129535,123867
1609480800,10.0.0.36,89985,80622
1609484400,10.0.0.43,114383,123434
1609488000,10.0.0.63,73402,127541
1609491600,10.0.0.5,115311,126403
1609495200,10.0.0.71,66532,78194
1609498800,10.0.0.20,125408,103112
1609502400,10.0.0.43,119791,110795
1609506000,10.0.0.43,130092,130879
1609509600,10.0.0.17,80150,104808
1609513200,10.0.0.19,92297,103171
1609516800,10.0.0.20,84427,89701
1609520400,10.0.0.5,123266,72912
1609524000,10.0.0.71,98018,108496
1609527600,10.0.0.43,87702,92634
1609531200,10.0.0.19,117413,93630
1609534800,10.0.0.20,99045,87865
1609538400,10.0.0.17,105214,104202
1609542000,10.0.0.43,109006,130839
1609545600,10.0.0.17,122377,107534
1609549200,10.0.0.20,130474,68658
1609552800,10.0.0.5,93347,87549
1609556400,10.0.0.17,71306,79642
1609560000,10.0.0.43,69244,112124
1609563600,10.0.0.71,129187,96372
1609567200,10.0.0.47,108523,82612
1609570800,10.0.0.63,72799,78202
1609574400,10.0.0.36,102369,117881
1609578000,10.0.0.20,111562,95714
1609581600,10.0.0.71,82541,114636
1609585200,10.0.0.43,130712,113938
1609588800,10.0.0.71,75043,103830
1609592400,10.0.0.20,109177,109600
1609596000,10.0.0.71,112767,113308
1609599600,10.0.0.17,93681,73403
1609603200,10.0.0.20,129410,116391
1609606800,10.0.0.47,127597,85735
1609610400,10.0.0.12,110195,122569
1609614000,10.0.0.36,93539,102958
1609617600,10.0.0.63,104268,119963
1609621200,10.0.0.19,129276,81584
1609624800,10.0.0.19,119488,91091
1609628400,10.0.0.5,66075,96813
1609632000,10.0.0.43,92406,78408
1609635600,10.0.0.36,99689,68634
1609639200,10.0.0.43,99888,66871
1609642800,10.0.0.47,79245,128933
1609646400,10.0.0.47,71269,70036
1609650000,10.0.0.12,77718,125757
1609653600,10.0.0.12,114346,98852
1609657200,10.0.0.5,96519,124674
1609660800,10.0.0.12,127093,112989
1609664400,10.0.0.12,92406,113528
1609668000,10.0.0.20,101782,74762
1609671600,10.0.0.12,121012,70996
1609675200,10.0.0.17,82472,67429
1609678800,10.0.0.5,122505,81139
1609682400,10.0.0.63,117100,114590
1609686000,10.0.0.71,103092,126772
1609689600,10.0.0.43,88586,109946
1609693200,10.0.0.12,90589,103010
1609696800,10.0.0.17,70721,98930
1609700400,10.0.0.47,76409,87881
1609704000,10.0.0.20,75455,86209
1609707600,10.0.0.19,87373,103766
1609711200,10.0.0.36,130107,120702
1609714800,10.0.0.71,108539,112034
1609718400,10.0.0.17,112450,97961
1609722000,10.0.0.36,120860,97598
1609725600,10.0.0.63,113654,120649
1609729200,10.0.0.71,74128,107783
1609732800,10.0.0.47,121457,112969
1609736400,10.0.0.19,84966,85923
1609740000,10.0.0.36,86266,95842
1609743600,10.0.0.47,96792,79760
1609747200,10.0.0.71,74859,106412
1609750800,10.0.0.43,82537,83778
1609754400,10.0.0.63,105819,130692
1609758000,10.0.0.47,112517,82461
1609761600,10.0.0.17,76896,130579
1609765200,10.0.0.71,85685,73534
1609768800,10.0.0.43,94029,129456
1609772400,10.0.0.17,70131,110967
1609776000,10.0.0.43,96296,93778
1609779600,10.0.0.47,105215,87115
1609783200,10.0.0.71,86727,124156
1609786800,10.0.0.47,85486,75520
1609790400,10.0.0.5,130743,115803
1609794000,10.0.0.63,66950,124866
1609797600,10.0.0.12,100857,70589
1609801200,10.0.0.63,86321,90739
1609804800,10.0.0.71,86315,81313
1609808400,10.0.0.36,123540,85908
1609812000,10.0.0.71,115516,78749
1609815600,10.0.0.43,72160,80509
1609819200,10.0.0.12,70747,129418
1609822800,10.0.0.12,72290,83731
1609826400,10.0.0.43,129995,111019
1609830000,10.0.0.47,111382,112434
1609833600,10.0.0.63,81975,109836
1609837200,10.0.0.47,79693,130622
1609840800,10.0.0.17,85410,113482
1609844400,10.0.0.43,117127,105849
1609848000,10.0.0.36,90720,90192
1609851600,10.0.0.36,92554,124535
1609855200,10.0.0.19,115968,91827
1609858800,10.0.0.63,66727,98581
1609862400,10.0.0.47,120826,125122
1609866000,10.0.0.5,93919,105331
1609869600,10.0.0.20,126341,83851
1609873200,10.0.0.12,98180,98009
