timestamp,rd_count,wr_count
1609448400,22481920,15153152
1609452000,28959744,17285120
1609455600,50957312,3605504
1609459200,34048000,61719552
1609462800,62559232,2827264
1609466400,2489344,49358848
1609470000,6801408,6910976
1609473600,61990912,52947968
1609477200,18009088,27889664
1609480800,58187776,27462656
1609484400,14261248,59252736
1609488000,16148480,44966912
1609491600,44050432,29782016
1609495200,66164736,30985216
1609498800,50697216,65216512
1609502400,6375424,6070272
1609506000,13259776,65777664
1609509600,53797888,62119936
1609513200,2273280,53275648
1609516800,56729600,30262272
1609520400,54006784,24648704
1609524000,12511232,58711040
1609527600,29463552,39932928
1609531200,12077056,12902400
1609534800,65725440,3154944
1609538400,5795840,12876800
1609542000,60310528,19847168
1609545600,55746560,37252096
1609549200,15059968,22328320
1609552800,33667072,31186944
1609556400,20434944,37945344
1609560000,2686976,31597568
1609563600,36613120,21914624
1609567200,59148288,4316160
1609570800,8081408,16294912
1609574400,32481280,27517952
1609578000,38847488,42896384
1609581600,19119104,33740800
1609585200,15719424,61638656
1609588800,44546048,14334976
1609592400,62696448,48244736
1609596000,57655296,55898112
1609599600,33522688,13818880
1609603200,58579968,14012416
1609606800,34051072,25137152
1609610400,43102208,52388864
1609614000,60985344,43693056
1609617600,49417216,63028224
1609621200,63510528,41455616
1609624800,65247232,37021696
1609628400,55653376,63158272
1609632000,62442496,59930624
1609635600,38944768,46992384
1609639200,26561536,20093952
1609642800,41521152,3998720
1609646400,32332800,37108736
1609650000,17673216,55417856
1609653600,58436608,16625664
1609657200,2126848,49906688
1609660800,28540928,34080768
1609664400,40473600,4534272
1609668000,51900416,66888704
1609671600,13657088,34207744
1609675200,62807040,42597376
1609678800,41093120,28471296
1609682400,12510208,62176256
1609686000,24519680,7842816
1609689600,54998016,28895232
1609693200,20264960,46989312
1609696800,46892032,59689984
1609700400,16417792,44654592
1609704000,62228480,31994880
1609707600,32962560,53555200
1609711200,14050304,32993280
1609714800,3878912,40495104
1609718400,64976896,42255360
1609722000,10459136,49767424
1609725600,42034176,22019072
1609729200,49404928,5258240
1609732800,62519296,55927808
1609736400,31632384,40459264
1609740000,50995200,21581824
1609743600,46205952,6410240
1609747200,48379904,31900672
1609750800,51302400,60702720
1609754400,24480768,65624064
1609758000,38247424,52139008
1609761600,63048704,4101120
1609765200,6111232,42528768
1609768800,34997248,7892992
1609772400,15913984,65403904
1609776000,15578112,24275968
1609779600,15589376,23042048
1609783200,11724800,62897152
1609786800,26203136,7135232
1609790400,19243008,23265280
1609794000,45497344,3128320
1609797600,10277888,57133056
1609801200,39981056,56560640
1609804800,21924864,24173568
1609808400,50153472,11835392
1609812000,55227392,53831680
1609815600,29405184,18693120
1609819200,55835648,33419264
1609822800,59125760,56262656
1609826400,6743040,40469504
1609830000,54556672,20224000
1609833600,62649344,35575808
1609837200,41169920,39803904
1609840800,63903744,32802816
1609844400,12368896,16036864
1609848000,53971968,23297024
1609851600,49607680,62152704
1609855200,13320192,22478848
1609858800,19130368,65687552
1609862400,12082176,34714624
1609866000,42953728,32740352
1609869600,21436416,37788672
1609873200,49336320,42701824
1609876800,4098048,8879104
1609880400,31854592,8743936
1609884000,47252480,51841024
1609887600,59411456,10318848
1609891200,20307968,66011136
1609894800,48025600,17101824
1609898400,64243712,58298368
1609902000,63581184,18632704
1609905600,47025152,46078976
1609909200,13675520,58248192
1609912800,66460672,63249408
1609916400,24353792,11432960
1609920000,63393792,32737280
1609923600,42076160,50259968
1609927200,3416064,56843264
1609930800,25851904,37956608
1609934400,63625216,23136256
1609938000,12131328,11294720
1609941600,40407040,4432896
1609945200,52056064,26144768
1609948800,35873792,32972800
1609952400,8676352,33007616
1609956000,56700928,5147648
1609959600,49544192,4143104
1609963200,49129472,28649472
1609966800,27821056,16007168
1609970400,57328640,50077696
1609974000,57883648,53612544
1609977600,48244736,32849920
1609981200,36762624,17090560
1609984800,55122944,28044288
1609988400,52951040,19166208
1609992000,16610304,62985216
1609995600,28363776,22448128
1609999200,32847872,13310976
1610002800,46495744,66624512
1610006400,11713536,53075968
1610010000,32522240,33844224
1610013600,23653376,47496192
1610017200,35890176,38213632
1610020800,9036800,61614080
1610024400,52123648,31795200
1610028000,12109824,42897408
1610031600,18298880,25784320
1610035200,41178112,20491264
1610038800,40778752,29191168
1610042400,13966336,26619904
1610046000,46260224,61019136
1610049600,22495232,40054784
1610053200,16357376,53245952
1610056800,18795520,28283904
1610060400,20287488,28411904
1610064000,14249984,18239488
1610067600,27685888,3333120
1610071200,63639552,29005824
1610074800,39449600,38106112
1610078400,23510016,57004032
1610082000,2791424,66062336
1610085600,32791552,51532800
1610089200,24737792,39399424
1610092800,37454848,63419392
1610096400,66494464,49324032
1610100000,55469056,13171712
1610103600,10760192,10854400
1610107200,18656256,25021440
1610110800,29530112,35354624
1610114400,51208192,47720448
1610118000,29196288,30887936
1610121600,63862784,54785024
1610125200,64663552,27919360
1610128800,16680960,37004288
1610132400,63928320,5621760
1610136000,59438080,32150528
1610139600,37113856,57659392
1610143200,49113088,59754496
1610146800,29949952,19458048
1610150400,23590912,61874176
1610154000,34211840,11950080
1610157600,40475648,42875904
1610161200,53246976,57035776
1610164800,33327104,15667200
1610168400,25280512,49965056
1610172000,28817408,52380672
1610175600,46282752,58110976
1610179200,7582720,43836416
1610182800,18920448,54707200
1610186400,46270464,48279552
1610190000,58231808,38598656
1610193600,13320192,60775424
1610197200,29149184,60336128
1610200800,20947968,24528896
1610204400,45224960,9968640
1610208000,19293184,12326912
1610211600,19822592,57671680
1610215200,20632576,38499328
1610218800,47597568,19389440
1610222400,19597312,38308864
1610226000,2244608,46317568
1610229600,23579648,46430208
1610233200,37318656,61604864
1610236800,55697408,21669888
1610240400,49202176,34857984
1610244000,2839552,7851008
1610247600,38887424,14062592
1610251200,66530304,33466368
1610254800,39828480,20368384
1610258400,55898112,17943552
1610262000,28239872,8081408
1610265600,60713984,13492224
1610269200,31182848,14236672
1610272800,17422336,44211200
1610276400,64069632,34922496
1610280000,15410176,64217088
1610283600,46669824,4419584
1610287200,11065344,49419264
1610290800,63927296,64665600
1610294400,3979264,46020608
1610298000,64953344,4721664
1610301600,19301376,36730880
1610305200,16687104,18721792
1610308800,3087360,21945344
1610312400,4519936,56888320
1610316000,37792768,63203328
1610319600,30399488,63936512
1610323200,9585664,59486208
1610326800,43602944,57450496
1610330400,4114432,40562688
1610334000,25263104,17427456
1610337600,37670912,4824064
1610341200,52289536,14166016
1610344800,52146176,49106944
1610348400,11721728,54028288
1610352000,60557312,9565184
1610355600,24179712,12749824
1610359200,44199936,38769664
1610362800,61914112,12717056
1610366400,26144768,64337920
1610370000,2496512,29367296
1610373600,60431360,63338496
1610377200,26193920,35446784
1610380800,55714816,2688000
1610384400,58328064,25259008
1610388000,8680448,16481280
1610391600,40589312,44254208
1610395200,51747840,25768960
1610398800,23849984,36784128
1610402400,40306688,33474560
1610406000,56242176,66293760
1610409600,8470528,13312000
1610413200,44473344,18100224
1610416800,17511424,39278592
1610420400,28720128,41560064
1610424000,4033536,61659136
1610427600,3817472,29894656
1610431200,57888768,60454912
1610434800,63244288,14020608
1610438400,28572672,54462464
1610442000,37183488,35155968
1610445600,36374528,43202560
1610449200,44840960,21012480
1610452800,66875392,66593792
1610456400,23227392,7599104
1610460000,32959488,12359680
1610463600,6782976,6859776
1610467200,56115200,49160192
1610470800,22862848,6516736
1610474400,53868544,49485824
1610478000,13506560,55804928
1610481600,44036096,47767552
1610485200,18589696,34814976
1610488800,41112576,47263744
1610492400,14265344,2575360
1610496000,2144256,49351680
1610499600,3161088,36421632
1610503200,25445376,45904896
1610506800,22863872,57750528
1610510400,45389824,43994112
1610514000,30779392,43779072
1610517600,21784576,2992128
1610521200,48541696,10789888
1610524800,17582080,4294656
1610528400,47749120,4340736
1610532000,19210240,26686464
1610535600,58048512,61149184
1610539200,7344128,9528320
1610542800,61393920,13886464
1610546400,22222848,8550400
1610550000,46904320,22269952
1610553600,23331840,47968256
1610557200,24121344,14206976
1610560800,26764288,44888064
1610564400,37387264,37583872
1610568000,21773312,66069504
1610571600,46792704,8987648
1610575200,66965504,60764160
1610578800,50220032,17437696
1610582400,30488576,30859264
1610586000,52221952,47601664
1610589600,22975488,43160576
1610593200,41641984,28222464
1610596800,18119680,3452928
1610600400,7538688,38245376
1610604000,42445824,52345856
1610607600,25945088,63681536
1610611200,33205248,47969280
1610614800,10778624,25399296
1610618400,25747456,13596672
1610622000,28412928,12950528
1610625600,12556288,8095744
1610629200,19841024,44951552
1610632800,34289664,2951168
1610636400,60293120,62681088
1610640000,64253952,45405184
1610643600,43172864,20119552
1610647200,53995520,50244608
1610650800,13772800,37544960
1610654400,51601408,19214336
1610658000,8680448,26937344
1610661600,36990976,65068032
1610665200,56048640,35625984
1610668800,45927424,32258048
1610672400,58928128,4566016
1610676000,43757568,20231168
1610679600,47959040,54216704
1610683200,58769408,65703936
1610686800,32059392,25949184
1610690400,34084864,57782272
1610694000,21520384,63768576
1610697600,3604480,30123008
1610701200,49318912,23029760
1610704800,13258752,28521472
1610708400,58478592,62763008
1610712000,13165568,32588800
1610715600,55130112,48059392
1610719200,30547968,44069888
1610722800,16575488,9365504
1610726400,41757696,40933376
1610730000,44374016,18405376
1610733600,26594304,25224192
1610737200,38051840,50793472
1610740800,56357888,3001344
1610744400,9632768,55872512
1610748000,26213376,61595648
1610751600,52532224,27720704
1610755200,24609792,2268160
1610758800,16181248,3298304
1610762400,28692480,7549952
1610766000,31491072,39760896
1610769600,38041600,19511296
1610773200,20711424,34019328
1610776800,29010944,2716672
1610780400,41288704,3658752
1610784000,41553920,51092480
1610787600,52506624,33577984
1610791200,9206784,23449600
1610794800,17262592,30994432
1610798400,24353792,57337856
1610802000,19758080,15997952
1610805600,51824640,37720064
1610809200,9148416,41864192
1610812800,37891072,23232512
1610816400,43065344,64486400
1610820000,61224960,7446528
1610823600,37137408,64697344
1610827200,57400320,23278592
1610830800,31606784,19302400
1610834400,56438784,38325248
1610838000,53403648,63422464
1610841600,22308864,38801408
1610845200,29890560,61958144
1610848800,60153856,45056000
1610852400,58383360,49937408
1610856000,35284992,11031552
1610859600,31365120,52539392
1610863200,46654464,38417408
1610866800,27293696,49975296
1610870400,27079680,35788800
1610874000,47351808,21195776
1610877600,41138176,49918976
1610881200,18783232,63968256
