timestamp,virtual,physical
1609448400,2872762,310244
1609452000,3295149,335255
1609455600,2843147,446052
1609459200,4005634,423524
1609462800,2563123,457295
1609466400,1696213,392062
1609470000,2926937,470737
1609473600,1807513,522929
1609477200,2012523,377216
1609480800,1361430,296312
1609484400,2303073,313376
1609488000,1482957,330263
1609491600,1251338,374502
1609495200,2869559,324765
1609498800,3983914,406271
1609502400,1643187,298526
1609506000,3081407,481986
1609509600,3785581,412751
1609513200,3813732,446814
1609516800,2683154,343798
1609520400,1699967,440621
1609524000,3886945,432390
1609527600,1449460,445977
1609531200,3318945,314498
1609534800,2929621,484453
1609538400,2449365,507590
1609542000,3690340,523286
1609545600,3205491,480678
1609549200,3259918,303567
1609552800,1338671,420853
1609556400,2025797,358611
1609560000,2566853,385969
1609563600,2677997,320969
1609567200,3693091,457913
1609570800,1562782,340658
1609574400,1334929,377555
1609578000,2367686,497188
1609581600,2647455,406493
1609585200,2528405,454542
1609588800,3086190,472020
1609592400,3308107,291416
1609596000,2302794,442487
1609599600,2129209,523126
1609603200,2502941,401769
1609606800,3195409,434270
1609610400,1099304,496147
1609614000,1581272,518001
1609617600,2989743,322757
1609621200,2679923,386499
1609624800,2363072,304224
1609628400,1525424,288044
1609632000,2263257,484437
1609635600,3677677,451340
1609639200,3517317,434059
1609642800,2489186,309391
1609646400,3276182,288395
1609650000,1654665,329208
1609653600,3358556,375124
1609657200,2699334,351517
1609660800,1834334,384690
1609664400,2364441,305178
1609668000,2728024,276138
1609671600,2406857,468615
1609675200,2962785,367812
1609678800,4012675,339181
1609682400,4087289,287935
1609686000,3781661,321622
1609689600,2092541,380265
1609693200,2873332,360772
1609696800,1082506,376315
1609700400,1728968,426066
1609704000,2771886,492730
1609707600,2598996,363399
1609711200,2974568,313271
1609714800,1507542,350410
1609718400,2805148,460318
1609722000,2500344,284460
1609725600,3624757,446574
1609729200,2863012,294967
1609732800,1606055,322044
1609736400,1429004,446037
1609740000,1929389,491325
1609743600,1559494,350158
1609747200,3232818,500237
1609750800,1243861,383385
1609754400,1407418,348900
1609758000,1335345,509069
1609761600,1114264,262196
1609765200,2971078,415147
1609768800,2941216,284854
1609772400,2606279,503380
1609776000,4157664,380760
1609779600,2891609,441244
1609783200,1625897,508722
1609786800,3885568,347383
1609790400,2145912,329974
1609794000,1586629,400361
1609797600,1088051,520695
1609801200,1805775,382168
1609804800,3386011,421065
1609808400,3393997,332810
1609812000,3925997,272474
1609815600,1634066,317258
1609819200,3421486,403626
1609822800,3886896,331897
1609826400,3841567,457577
1609830000,1624669,393268
1609833600,3211871,320587
1609837200,2151527,379526
1609840800,2932232,268193
1609844400,3876783,357547
1609848000,2963740,479944
1609851600,1814777,379082
1609855200,2320127,468043
1609858800,4179723,456898
1609862400,1427991,494610
1609866000,3160899,372929
1609869600,1818665,337250
1609873200,2006322,515323
1609876800,2061442,382208
1609880400,1118457,397165
1609884000,3998467,379968
1609887600,3417843,391977
1609891200,2017207,322416
1609894800,1563711,489480
1609898400,1122069,458027
1609902000,2688915,410537
1609905600,3565238,302406
1609909200,1848193,373936
1609912800,2882047,518676
1609916400,3203576,373412
1609920000,2067980,334397
1609923600,2325358,477840
1609927200,3820773,396144
1609930800,1788129,372139
1609934400,2886232,283901
1609938000,3397297,323799
1609941600,2503986,519353
1609945200,3610641,324039
1609948800,2949374,455086
1609952400,3181224,400185
1609956000,3276178,358017
1609959600,1867844,286410
1609963200,1985905,306003
1609966800,2242385,406872
1609970400,3452496,458988
1609974000,2888582,273290
1609977600,1326041,494433
1609981200,2068454,424647
1609984800,2206954,441764
1609988400,2641103,374591
1609992000,1520972,271753
1609995600,1493488,349149
1609999200,2369144,381974
1610002800,1207484,330345
1610006400,1890555,454516
1610010000,2051294,447644
1610013600,1870920,509060
1610017200,1523754,448956
1610020800,1343719,354015
1610024400,1386111,337213
1610028000,3969903,341774
1610031600,4027283,312050
1610035200,2149966,321250
1610038800,4151302,424254
1610042400,1564393,501292
1610046000,2111438,456487
1610049600,2346408,456851
1610053200,1868126,515575
1610056800,2417600,454824
1610060400,1646144,373355
1610064000,2222120,282113
1610067600,2136221,419344
1610071200,2374379,514668
1610074800,2707669,303708
1610078400,2183917,421598
1610082000,1175645,379157
1610085600,4175534,481377
1610089200,3061838,288858
1610092800,2910738,395713
1610096400,3343753,279496
1610100000,3521148,471573
1610103600,3367559,359328
1610107200,2768662,517618
1610110800,2195182,464719
1610114400,4118357,426486
1610118000,2155749,308916
1610121600,2296567,356544
1610125200,4142061,475772
1610128800,3759007,294030
1610132400,1050376,437366
1610136000,3604842,388209
1610139600,1612348,438616
1610143200,1137493,475539
1610146800,3621481,377876
1610150400,3499399,408393
1610154000,1184696,465727
1610157600,2983240,352970
1610161200,1354447,505860
1610164800,1400013,397429
1610168400,3599496,270164
1610172000,2148759,506124
1610175600,3470921,508513
1610179200,3757808,266956
1610182800,1777605,439542
