timestamp,peer_addr,rd_count,wr_count
1609448400,10.0.0.32,213260,176368
1609452000,10.0.0.18,156736,9572
1609455600,10.0.0.10,227366,232384
1609459200,10.0.0.13,20175,221619
1609462800,10.0.0.6,113238,128956
1609466400,10.0.0.7,94253,68518
1609470000,10.0.0.32,224870,52711
1609473600,10.0.0.18,82609,99859
1609477200,10.0.0.61,226515,80312
1609480800,10.0.0.13,71468,218643
1609484400,10.0.0.9,20948,169558
1609488000,10.0.0.10,164660,173152
1609491600,10.0.0.9,205302,247375
1609495200,10.0.0.18,212554,114407
1609498800,10.0.0.6,157395,74502
1609502400,10.0.0.53,87190,160563
1609506000,10.0.0.13,164001,232291
1609509600,10.0.0.53,260063,52555
1609513200,10.0.0.18,150861,125928
1609516800,10.0.0.32,164498,189204
1609520400,10.0.0.18,212501,201960
1609524000,10.0.0.32,29577,213477
1609527600,10.0.0.53,102186,156435
1609531200,10.0.0.6,144834,106644
1609534800,10.0.0.53,146756,110896
1609538400,10.0.0.40,124492,189895
1609542000,10.0.0.13,162555,200753
1609545600,10.0.0.6,100186,53521
1609549200,10.0.0.9,238686,196190
1609552800,10.0.0.9,195154,207545
1609556400,10.0.0.7,107920,12750
1609560000,10.0.0.6,37101,34135
1609563600,10.0.0.13,240445,128129
1609567200,10.0.0.40,174665,10618
1609570800,10.0.0.40,215101,149183
1609574400,10.0.0.61,67694,11330
1609578000,10.0.0.18,181860,20742
1609581600,10.0.0.9,11820,221938
1609585200,10.0.0.53,140296,198280
1609588800,10.0.0.40,241557,131089
1609592400,10.0.0.32,15524,230817
1609596000,10.0.0.61,237412,114775
1609599600,10.0.0.53,11328,92875
1609603200,10.0.0.10,42690,259349
1609606800,10.0.0.40,172503,67154
1609610400,10.0.0.18,260070,235858
1609614000,10.0.0.61,21034,155373
1609617600,10.0.0.13,83762,14050
1609621200,10.0.0.9,191818,146154
1609624800,10.0.0.6,233720,234568
1609628400,10.0.0.40,75870,241900
1609632000,10.0.0.53,31781,216967
1609635600,10.0.0.32,13636,75153
1609639200,10.0.0.18,224630,109651
1609642800,10.0.0.13,183897,129011
1609646400,10.0.0.6,248407,235939
1609650000,10.0.0.6,61902,248781
1609653600,10.0.0.18,251302,179400
1609657200,10.0.0.9,255345,108874
1609660800,10.0.0.18,86121,80249
1609664400,10.0.0.10,148996,257129
1609668000,10.0.0.40,35392,26566
1609671600,10.0.0.7,137574,141212
1609675200,10.0.0.18,70286,103497
1609678800,10.0.0.61,109204,134251
1609682400,10.0.0.6,207084,229515
1609686000,10.0.0.40,133526,29072
1609689600,10.0.0.13,207149,127232
1609693200,10.0.0.32,141680,120232
1609696800,10.0.0.18,214174,53211
1609700400,10.0.0.40,113940,49064
1609704000,10.0.0.10,247414,185467
1609707600,10.0.0.9,190560,60696
1609711200,10.0.0.53,55716,122790
1609714800,10.0.0.7,131533,78851
1609718400,10.0.0.40,74017,23590
1609722000,10.0.0.53,99296,148924
1609725600,10.0.0.13,111012,202930
1609729200,10.0.0.10,39784,82266
1609732800,10.0.0.10,178439,143297
1609736400,10.0.0.9,134999,249045
1609740000,10.0.0.40,195545,89163
1609743600,10.0.0.40,20312,126581
1609747200,10.0.0.32,196503,29154
1609750800,10.0.0.32,213846,152496
1609754400,10.0.0.9,212297,218321
1609758000,10.0.0.6,177919,164474
1609761600,10.0.0.40,19471,13142
1609765200,10.0.0.61,234215,153936
1609768800,10.0.0.61,52694,70030
1609772400,10.0.0.18,25394,196837
1609776000,10.0.0.6,148169,130037
1609779600,10.0.0.32,194065,251359
1609783200,10.0.0.7,38313,185517
1609786800,10.0.0.10,215562,137018
1609790400,10.0.0.7,100116,86971
1609794000,10.0.0.7,109269,111747
1609797600,10.0.0.32,114204,123026
1609801200,10.0.0.32,59724,94897
1609804800,10.0.0.6,79318,248601
1609808400,10.0.0.53,89066,120853
1609812000,10.0.0.61,194716,260830
1609815600,10.0.0.32,127184,47599
1609819200,10.0.0.10,33091,77720
1609822800,10.0.0.10,214113,140140
1609826400,10.0.0.6,31133,232064
1609830000,10.0.0.7,167484,188190
1609833600,10.0.0.6,205964,40049
1609837200,10.0.0.13,104444,91581
1609840800,10.0.0.61,39465,17756
1609844400,10.0.0.53,145527,207832
1609848000,10.0.0.40,41131,140203
1609851600,10.0.0.10,58580,114245
1609855200,10.0.0.53,65043,248346
1609858800,10.0.0.7,248832,200114
1609862400,10.0.0.9,17393,78104
1609866000,10.0.0.40,118885,237396
1609869600,10.0.0.18,69780,36064
1609873200,10.0.0.10,244712,132316
1609876800,10.0.0.13,252195,18639
1609880400,10.0.0.40,100984,11023
1609884000,10.0.0.18,207385,43962
1609887600,10.0.0.6,22369,94350
1609891200,10.0.0.53,21712,151202
1609894800,10.0.0.13,199785,246891
1609898400,10.0.0.6,110702,256092
1609902000,10.0.0.7,245491,221835
1609905600,10.0.0.53,161174,138472
1609909200,10.0.0.40,108715,120839
1609912800,10.0.0.6,139646,219892
1609916400,10.0.0.40,144392,167733
1609920000,10.0.0.13,239576,221976
1609923600,10.0.0.10,176870,236153
1609927200,10.0.0.40,220217,249673
1609930800,10.0.0.6,249565,42162
1609934400,10.0.0.13,71731,253874
1609938000,10.0.0.7,73011,237020
