timestamp,peer_addr,rd_count,wr_count
1609448400,10.0.0.43,149892,175271
1609452000,10.0.0.71,122590,182052
1609455600,10.0.0.5,165673,112615
1609459200,10.0.0.63,195147,67516
1609462800,10.0.0.17,193553,64544
1609466400,10.0.0.71,245492,117320
1609470000,10.0.0.20,44377,45383
1609473600,10.0.0.12,19831,106740
1609477200,10.0.0.36,125066,215562
1609480800,10.0.0.12,190431,206739
1609484400,10.0.0.20,10464,203488
1609488000,10.0.0.63,118972,63733
1609491600,10.0.0.19,216646,76264
1609495200,10.0.0.71,31065,118268
1609498800,10.0.0.43,48759,49476
1609502400,10.0.0.19,241587,141825
1609506000,10.0.0.5,195853,178011
1609509600,10.0.0.71,92551,189650
1609513200,10.0.0.71,83404,52371
1609516800,10.0.0.63,201762,89659
1609520400,10.0.0.20,125738,201134
1609524000,10.0.0.36,216793,166963
1609527600,10.0.0.47,191806,230466
1609531200,10.0.0.19,162040,253340
1609534800,10.0.0.20,155850,39754
1609538400,10.0.0.36,206012,128198
1609542000,10.0.0.43,220351,61706
1609545600,10.0.0.17,17728,146065
1609549200,10.0.0.63,167807,76326
1609552800,10.0.0.19,126153,15744
1609556400,10.0.0.12,28892,133290
1609560000,10.0.0.19,126928,196941
1609563600,10.0.0.43,135554,126402
1609567200,10.0.0.5,67301,135300
1609570800,10.0.0.5,254075,138007
1609574400,10.0.0.63,227980,81674
1609578000,10.0.0.47,45616,148882
1609581600,10.0.0.47,178023,158418
1609585200,10.0.0.5,92784,63881
1609588800,10.0.0.5,160926,36891
1609592400,10.0.0.5,165585,166793
1609596000,10.0.0.20,253984,140578
1609599600,10.0.0.17,102050,13787
1609603200,10.0.0.5,172391,182098
1609606800,10.0.0.5,233726,173828
1609610400,10.0.0.36,181673,248665
1609614000,10.0.0.63,104674,31937
1609617600,10.0.0.5,81190,201768
1609621200,10.0.0.12,195579,141409
1609624800,10.0.0.63,123949,149192
1609628400,10.0.0.17,169074,52433
1609632000,10.0.0.20,194346,153274
1609635600,10.0.0.47,9263,247133
1609639200,10.0.0.5,196543,12228
1609642800,10.0.0.17,111828,237762
1609646400,10.0.0.43,156927,12139
1609650000,10.0.0.47,21356,108622
1609653600,10.0.0.43,135676,181620
1609657200,10.0.0.43,146070,224056
1609660800,10.0.0.36,176404,194862
1609664400,10.0.0.63,126235,101591
1609668000,10.0.0.36,89717,142794
1609671600,10.0.0.36,185585,253067
1609675200,10.0.0.43,142097,187266
1609678800,10.0.0.17,18363,36749
1609682400,10.0.0.5,60266,185484
1609686000,10.0.0.12,88489,53697
1609689600,10.0.0.5,249659,36231
1609693200,10.0.0.63,96099,174109
1609696800,10.0.0.63,184958,88169
1609700400,10.0.0.47,160664,61261
1609704000,10.0.0.19,35661,251988
1609707600,10.0.0.19,164942,175228
1609711200,10.0.0.36,134060,164183
1609714800,10.0.0.19,107214,174354
1609718400,10.0.0.47,55785,226428
1609722000,10.0.0.47,226708,161774
1609725600,10.0.0.63,243908,149088
1609729200,10.0.0.43,144634,236995
1609732800,10.0.0.63,152022,159608
1609736400,10.0.0.43,91928,167130
1609740000,10.0.0.12,89484,194599
1609743600,10.0.0.71,221642,206398
1609747200,10.0.0.17,90370,78113
1609750800,10.0.0.17,247374,177135
1609754400,10.0.0.43,178782,79777
1609758000,10.0.0.43,251734,153343
1609761600,10.0.0.20,260989,134906
1609765200,10.0.0.20,153332,126398
1609768800,10.0.0.19,66641,16075
1609772400,10.0.0.20,59928,209013
1609776000,10.0.0.19,70535,36152
1609779600,10.0.0.17,215736,104652
1609783200,10.0.0.71,238072,186830
1609786800,10.0.0.47,53044,26909
1609790400,10.0.0.17,143381,52548
1609794000,10.0.0.5,52850,41937
1609797600,10.0.0.43,115901,149783
1609801200,10.0.0.17,65696,149972
1609804800,10.0.0.20,244295,208422
1609808400,10.0.0.71,175206,115207
