timestamp,type,status,amount,complete_time
1609448400,2,1,92174,40
1609452000,2,6,68083,55
1609455600,3,5,115204,31
1609459200,2,0,94262,38
1609462800,2,3,81412,45
1609466400,1,6,71985,52
1609470000,1,4,130458,27
1609473600,1,6,91353,40
1609477200,2,0,109549,33
1609480800,1,0,118045,31
1609484400,1,6,114451,32
1609488000,3,5,87855,41
1609491600,3,3,111943,32
1609495200,1,4,86372,43
1609498800,2,6,106851,34
1609502400,2,1,90398,40
1609506000,2,3,96104,38
1609509600,3,2,118992,30
1609513200,3,2,83642,43
1609516800,2,0,116853,31
1609520400,2,1,130838,27
1609524000,3,3,91211,40
1609527600,1,6,124512,29
1609531200,1,1,100059,37
1609534800,1,3,109452,33
1609538400,3,2,92767,40
1609542000,2,3,91475,40
1609545600,1,2,124010,29
1609549200,3,1,71865,52
1609552800,2,6,119991,30
1609556400,1,5,70721,52
1609560000,1,1,71768,52
1609563600,2,4,97960,37
1609567200,2,0,95410,38
1609570800,3,0,92844,40
1609574400,3,3,78420,47
1609578000,3,5,114023,32
1609581600,2,5,95384,38
1609585200,1,3,113956,32
1609588800,1,6,110197,33
1609592400,3,3,70979,52
1609596000,2,3,100653,37
1609599600,1,0,90266,40
1609603200,1,5,76023,47
1609606800,2,2,88962,41
1609610400,1,3,122278,30
1609614000,1,0,79761,45
1609617600,2,1,75133,50
1609621200,1,4,106414,34
1609624800,1,5,115872,31
1609628400,1,0,127107,28
1609632000,2,2,129582,28
1609635600,3,0,83337,43
1609639200,2,0,112984,32
1609642800,1,4,83854,43
1609646400,1,5,95299,38
1609650000,1,1,108913,33
1609653600,2,3,84998,43
1609657200,2,5,109748,33
1609660800,1,1,123854,29
1609664400,1,0,78215,47
1609668000,1,0,81574,45
1609671600,1,6,102242,35
1609675200,3,4,69089,52
1609678800,1,4,77624,47
1609682400,2,6,117238,31
1609686000,3,1,107458,34
1609689600,3,3,114290,32
1609693200,2,5,112146,32
1609696800,1,2,73607,50
1609700400,2,3,119172,30
1609704000,2,4,74891,50
1609707600,2,4,107155,34
